2019-08-10 10:52:36,354 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step07_mavenlombok\src\test\resources
2019-08-10 10:52:36,576 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: encore:step08_API:0.0.1-SNAPSHOT @ C:\0.encore\01.java\step08_API\pom.xml.
2019-08-10 10:52:36,782 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:36,794 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step08_API\src\main\resources
2019-08-10 10:52:36,802 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:36,810 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step08_API\src\test\resources
2019-08-10 10:52:37,053 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: step08_API_Country:step08_API_Country:0.0.1-SNAPSHOT @ C:\0.encore\01.java\step08_API_MBA\pom.xml.
2019-08-10 10:52:37,348 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:37,359 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step08_API_MBA\src\main\resources
2019-08-10 10:52:37,361 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:37,377 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step08_API_MBA\src\test\resources
2019-08-10 10:52:37,836 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: step10_OOPProject:step10_OOPProject:0.0.1-SNAPSHOT @ C:\0.encore\01.java\step10_OOPProject\pom.xml.
2019-08-10 10:52:38,082 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:38,090 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step10_OOPProject\src\main\resources
2019-08-10 10:52:38,099 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:38,108 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step10_OOPProject\src\test\resources
2019-08-10 10:52:38,530 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Encore:step_10library:0.0.1-SNAPSHOT @ C:\0.encore\01.java\step10_library-master\step10_library-master\step10_library\pom.xml.
2019-08-10 10:52:38,784 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:38,800 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step10_library-master\step10_library-master\step10_library\src\main\resources
2019-08-10 10:52:38,802 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:38,811 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step10_library-master\step10_library-master\step10_library\src\test\resources
2019-08-10 10:52:39,172 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: encore:step11_jsoupTest:0.0.1-SNAPSHOT @ C:\0.encore\01.java\step11_jsoupTest\pom.xml.
2019-08-10 10:52:39,382 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:39,389 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step11_jsoupTest\src\main\resources
2019-08-10 10:52:39,390 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:39,395 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step11_jsoupTest\src\test\resources
2019-08-10 10:52:39,589 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: encore:step11_jsoupTest:0.0.1-SNAPSHOT @ C:\0.encore\01.java\190722_jsoup댓글크롤링\조영욱\step11_jsoupTest_\pom.xml.
2019-08-10 10:52:39,658 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:39,664 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\190722_jsoup댓글크롤링\조영욱\step11_jsoupTest_\src\main\resources
2019-08-10 10:52:39,666 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:39,681 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\190722_jsoup댓글크롤링\조영욱\step11_jsoupTest_\src\test\resources
2019-08-10 10:52:39,907 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: encore:encore:0.0.1-SNAPSHOT @ C:\0.encore\01.java\step12_JDBC\pom.xml.
2019-08-10 10:52:40,158 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:40,165 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step12_JDBC\src\main\resources
2019-08-10 10:52:40,172 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:40,178 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step12_JDBC\src\test\resources
2019-08-10 10:52:40,440 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: encore:step12_JDBC:0.0.1-SNAPSHOT @ C:\0.encore\01.java\step12_JDBC_t\pom.xml.
2019-08-10 10:52:40,649 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:40,663 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step12_JDBC_t\src\main\resources
2019-08-10 10:52:40,664 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:40,672 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step12_JDBC_t\src\test\resources
2019-08-10 10:52:41,326 [Worker-18: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: vendingMachine:vendingMachine:0.0.1-SNAPSHOT @ C:\0.encore\01.java\vendingMachine\pom.xml.
2019-08-10 10:52:41,554 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:41,560 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\vendingMachine\src\main\resources
2019-08-10 10:52:41,561 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:41,568 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\vendingMachine\src\test\resources
2019-08-10 10:52:42,921 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:42,931 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\190722_jsoup댓글크롤링\변영인\Project_Mini_WebCrawler\src\main\resources
2019-08-10 10:52:42,933 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:42,942 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\190722_jsoup댓글크롤링\변영인\Project_Mini_WebCrawler\src\test\resources
2019-08-10 10:52:43,391 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:43,403 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\Step14_TeamProject\src\main\resources
2019-08-10 10:52:43,410 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:43,417 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\Step14_TeamProject\src\test\resources
2019-08-10 10:52:43,512 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:43,518 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step07_mavenlombok\src\main\resources
2019-08-10 10:52:43,519 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:43,526 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step07_mavenlombok\src\test\resources
2019-08-10 10:52:43,659 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:43,667 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step08_API\src\main\resources
2019-08-10 10:52:43,668 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2019-08-10 10:52:43,676 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\0.encore\01.java\step08_API\src\test\resources
2019-08-10 10:52:43,836 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
